station,annual_2023
"138 St-Grand Concourse (4,5)",785271
"149 St-Grand Concourse (2,4,5)",2087779
"161 St-Yankee Stadium (B,D,4)",5316351
167 St (4),1901393
"167 St (B,D)",1411144
170 St (4),1448193
"170 St (B,D)",1001022
"174 St (2,5)",1118781
"174-175 Sts (B,D)",774167
176 St (4),1041352
"182-183 Sts (B,D)",824845
183 St (4),1188844
"219 St (2,5)",490047
"225 St (2,5)",589541
231 St (1),1894047
"233 St (2,5)",845056
238 St (1),959752
3 Av-138 St (6),1750592
"3 Av-149 St (2,5)",3333256
"Allerton Av (2,5)",874229
Baychester Av (5),540493
"Bedford Park Blvd (B,D)",1166942
Bedford Park Blvd-Lehman College (4),1182701
"Bronx Park East (2,5)",456352
Brook Av (6),1104521
Buhre Av (6),758972
"Burke Av (2,5)",532937
Burnside Av (4),1891402
Castle Hill Av (6),1051526
Cypress Av (6),501060
East 143 St-St Mary's St (6),254155
East 149 St (6),966053
"East 180 St (2,5)",1690373
Eastchester-Dyre Av (5),727475
Elder Av (6),1214084
Fordham Rd (4),2269772
"Fordham Rd (B,D)",1842281
"Freeman St (2,5)",822237
"Gun Hill Rd (2,5)",1214663
Gun Hill Rd (5),925025
Hunts Point Av (6),2140557
"Intervale Av (2,5)",580512
"Jackson Av (2,5)",919324
Kingsbridge Rd (4),1958074
"Kingsbridge Rd (B,D)",1140981
Longwood Av (6),686670
Middletown Rd (6),401976
Morris Park (5),521846
Morrison Av-Soundview (6),1221900
Mosholu Pkwy (4),1728114
Mt Eden Av (4),990912
"Nereid Av (2,5)",583996
Norwood-205 St (D),1196666
Parkchester (6),3295956
Pelham Bay Park (6),1180813
"Pelham Pkwy (2,5)",1686103
Pelham Pkwy (5),564687
"Prospect Av (2,5)",1248614
"Simpson St (2,5)",1336897
St. Lawrence Ave. (6),816020
"Tremont Av (B,D)",1192367
Van Cortlandt Park-242 St (1),1409910
Wakefield-241 St (2),794723
"West Farms Sq-East Tremont Av (2,5)",997755
Westchester Sq-East Tremont Av (6),773043
Whitlock Av (6),385838
Woodlawn (4),1299027
Zerega Av (6),504725
"15 St-Prospect Park (F,G)",1390166
18 Av (D),1336402
18 Av (F),724074
18 Av (N),1190431
20 Av (D),1125752
20 Av (N),931058
25 Av (D),948677
25 St (R),822024
"36 St (D,N,R)",3458960
"4 Av (F,G)/9 St (R)",2832325
45 St (R),1884446
50 St (D),753338
53 St (R),2018914
