station,boro,weekday_2023,rank_2023
"138 St-Grand Concourse (4,5)",Bx,2546,336
"149 St-Grand Concourse (2,4,5)",Bx,6789,154
"161 St-Yankee Stadium (B,D,4)",Bx,16043,54
167 St (4),Bx,5807,175
"167 St (B,D)",Bx,4926,206
170 St (4),Bx,4495,222
"170 St (B,D)",Bx,3529,280
"174 St (2,5)",Bx,3664,271
"174-175 Sts (B,D)",Bx,2746,324
176 St (4),Bx,3230,290
"182-183 Sts (B,D)",Bx,2893,313
183 St (4),Bx,3611,275
"219 St (2,5)",Bx,1584,391
"225 St (2,5)",Bx,1917,365
231 St (1),Bx,6165,169
"233 St (2,5)",Bx,2754,322
238 St (1),Bx,3104,298
3 Av-138 St (6),Bx,5708,177
"3 Av-149 St (2,5)",Bx,10994,89
"Allerton Av (2,5)",Bx,2836,315
Baychester Av (5),Bx,1875,371
"Bedford Park Blvd (B,D)",Bx,4139,242
Bedford Park Blvd-Lehman College (4),Bx,3634,273
"Bronx Park East (2,5)",Bx,1516,393
Brook Av (6),Bx,3540,279
Buhre Av (6),Bx,2616,329
"Burke Av (2,5)",Bx,1755,377
Burnside Av (4),Bx,5773,176
Castle Hill Av (6),Bx,3619,274
Cypress Av (6),Bx,1643,386
East 143 St-St Mary's St (6),Bx,890,414
East 149 St (6),Bx,3100,299
"East 180 St (2,5)",Bx,5459,184
Eastchester-Dyre Av (5),Bx,2576,334
Elder Av (6),Bx,3846,260
Fordham Rd (4),Bx,6716,157
"Fordham Rd (B,D)",Bx,6533,160
"Freeman St (2,5)",Bx,2690,327
"Gun Hill Rd (2,5)",Bx,3897,255
Gun Hill Rd (5),Bx,3189,294
Hunts Point Av (6),Bx,6976,150
"Intervale Av (2,5)",Bx,1915,366
"Jackson Av (2,5)",Bx,3066,303
Kingsbridge Rd (4),Bx,6045,171
"Kingsbridge Rd (B,D)",Bx,4060,246
Longwood Av (6),Bx,2258,351
Middletown Rd (6),Bx,1416,398
Morris Park (5),Bx,1820,375
Morrison Av-Soundview (6),Bx,3930,253
Mosholu Pkwy (4),Bx,5394,186
Mt Eden Av (4),Bx,3106,297
"Nereid Av (2,5)",Bx,1948,360
Norwood-205 St (D),Bx,4255,233
Parkchester (6),Bx,10497,96
Pelham Bay Park (6),Bx,3863,257
"Pelham Pkwy (2,5)",Bx,5519,182
Pelham Pkwy (5),Bx,2014,359
"Prospect Av (2,5)",Bx,4136,243
"Simpson St (2,5)",Bx,4374,226
St. Lawrence Ave. (6),Bx,2590,332
"Tremont Av (B,D)",Bx,4238,236
Van Cortlandt Park-242 St (1),Bx,4695,213
Wakefield-241 St (2),Bx,2544,337
"West Farms Sq-East Tremont Av (2,5)",Bx,3202,292
Westchester Sq-East Tremont Av (6),Bx,2685,328
Whitlock Av (6),Bx,1250,404
Woodlawn (4),Bx,4228,238
Zerega Av (6),Bx,1760,376
"15 St-Prospect Park (F,G)",B,4292,230
18 Av (D),B,4279,231
18 Av (F),B,2531,338
18 Av (N),B,3682,269
20 Av (D),B,3571,277
20 Av (N),B,3018,306
25 Av (D),B,3031,305
25 St (R),B,2613,330
"36 St (D,N,R)",B,10764,91
"4 Av (F,G)/9 St (R)",B,8766,115
45 St (R),B,5886,173
50 St (D),B,2501,341
53 St (R),B,6384,163
55 St (D),B,1393,400
"59 St (N,R)",B,9087,110
"7 Av (B,Q)",B,7104,146
"7 Av (F,G)",B,8510,123
71 St (D),B,3396,286
77 St (R),B,3849,258
79 St (D),B,4252,235
8 Av (N),B,7895,139
